# --- Read time in mikroseconds ---
# MPI_Comm_size: 4
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp4_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp4-4nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp4-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
2933	176	2685	 2915	 3168	 2965
1423	60	1477	 1392	 1484	 1339
1342	57	1382	 1323	 1385	 1280
1317	37	1347	 1301	 1339	 1282
1305	63	1366	 1273	 1333	 1251
1310	60	1363	 1289	 1336	 1255
1308	59	1360	 1285	 1331	 1259
1301	39	1346	 1284	 1310	 1265
1302	46	1348	 1285	 1307	 1270
1303	40	1364	 1292	 1306	 1250
1300	42	1364	 1280	 1308	 1248
1293	57	1352	 1276	 1294	 1253
1294	53	1354	 1279	 1301	 1244
1291	49	1360	 1272	 1288	 1245
1292	46	1348	 1281	 1301	 1239
1300	42	1342	 1307	 1305	 1247
1337	84	1320	 1479	 1290	 1259
1278	46	1323	 1277	 1277	 1237
1274	49	1326	 1266	 1276	 1230
1303	48	1304	 1286	 1378	 1244
1262	42	1298	 1262	 1260	 1230
1266	52	1314	 1262	 1253	 1238
3552	83	3625	 3546	 3574	 3465
1255	33	1268	 1236	 1286	 1231
1240	32	1202	 1244	 1290	 1224
1229	30	1271	 1192	 1242	 1211
1197	26	1210	 1186	 1193	 1200
1201	35	1203	 1190	 1211	 1202
1185	45	1173	 1165	 1209	 1196
1200	35	1238	 1190	 1225	 1147
1188	26	1178	 1172	 1233	 1169
1202	45	1239	 1209	 1206	 1156
1186	44	1208	 1169	 1193	 1177
1166	27	1176	 1168	 1178	 1143
1170	47	1178	 1161	 1202	 1142
1174	24	1180	 1178	 1172	 1167
1172	33	1197	 1173	 1184	 1135
1176	36	1213	 1160	 1189	 1143
1183	43	1197	 1170	 1188	 1180
1153	46	1093	 1180	 1197	 1143
1119	65	1130	 1036	 1171	 1142
1064	78	1060	 962	 1086	 1151
1027	76	1018	 978	 964	 1149
1019	82	986	 976	 966	 1150
1030	88	992	 964	 995	 1171
990	42	1002	 984	 1011	 966
962	15	978	 952	 976	 942
958	11	971	 949	 968	 944
959	39	974	 960	 965	 940
962	33	980	 952	 965	 953
960	31	960	 955	 963	 964
954	24	958	 961	 962	 936
957	10	966	 957	 965	 940
961	39	974	 945	 967	 961
965	42	969	 989	 967	 938
980	32	969	 999	 1007	 946
955	25	971	 943	 967	 940
965	38	998	 962	 967	 935
961	15	976	 969	 964	 935
954	32	968	 944	 963	 943
961	25	971	 939	 970	 965
970	12	986	 950	 974	 970
960	40	971	 967	 966	 939
968	9	981	 965	 970	 956
969	13	962	 988	 975	 951
969	32	970	 964	 982	 962
974	43	961	 940	 1023	 974
996	46	973	 970	 1027	 1017
998	51	987	 960	 1053	 995
971	39	975	 960	 986	 966
976	9	972	 963	 982	 987
969	19	995	 940	 973	 968
1002	77	988	 942	 1116	 965
1042	75	1020	 1050	 1139	 962
1080	74	1147	 1123	 984	 1069
946	113	871	 825	 983	 1107
913	63	864	 837	 984	 967
898	65	872	 830	 915	 978
860	40	885	 831	 862	 865
852	33	862	 828	 869	 851
855	14	869	 834	 868	 849
855	26	877	 833	 861	 850
855	37	867	 843	 863	 850
859	30	864	 857	 867	 850
861	22	876	 856	 862	 851
856	24	876	 840	 861	 848
850	23	857	 831	 862	 851
853	38	864	 828	 867	 856
858	32	862	 835	 868	 869
856	39	879	 832	 863	 853
853	33	860	 829	 875	 850
850	32	858	 831	 869	 844
857	9	859	 841	 868	 860
854	33	866	 834	 875	 843
853	34	879	 835	 862	 838
847	38	865	 829	 855	 842
855	31	865	 837	 860	 860
876	35	874	 832	 886	 913
878	45	861	 833	 895	 925
913	61	875	 834	 988	 955
908	91	882	 835	 1050	 868
Total runtime = 0.134979s

# --- Read time in mikroseconds ---
# MPI_Comm_size: 4
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp4_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp4-4nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp4-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 2048 	 2048 	 100 	 10

# Mean 	 Sdev 	 Rank 0
8730	739	8787	 7603	 9666	 8865
4049	82	4061	 4017	 4087	 4034
3985	29	3969	 3950	 3991	 4030
3963	80	3928	 3909	 4038	 3979
3971	83	3948	 3900	 4049	 3989
3955	75	3919	 3918	 4019	 3966
3940	56	3922	 3857	 4006	 3975
3873	97	3719	 3861	 3954	 3958
3833	121	3685	 3819	 3933	 3898
3741	103	3625	 3704	 3907	 3728
3768	156	3637	 3720	 3999	 3719
3762	143	3658	 3718	 3970	 3705
3762	99	3695	 3725	 3897	 3733
3732	88	3663	 3718	 3776	 3774
3718	62	3648	 3717	 3738	 3770
3721	88	3646	 3724	 3745	 3772
3761	66	3684	 3749	 3811	 3801
3739	81	3655	 3730	 3788	 3785
3724	51	3647	 3715	 3788	 3746
3706	70	3585	 3742	 3742	 3755
3762	149	3578	 3729	 3784	 3959
3732	148	3547	 3699	 3758	 3926
12576	61	12543	 12494	 12655	 12612
3714	197	3611	 3551	 4033	 3663
3624	80	3573	 3541	 3753	 3629
3559	92	3481	 3509	 3664	 3584
3553	84	3447	 3510	 3675	 3580
3545	102	3437	 3496	 3711	 3536
3555	119	3446	 3496	 3695	 3586
3522	72	3430	 3479	 3617	 3562
3506	96	3419	 3437	 3663	 3505
3520	120	3407	 3419	 3678	 3577
