
# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# MPI_Comm_size: 4
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
5487	 944	 7118	 4962	 4933	 4937
6532	 1446	 9027	 5854	 5624	 5626
4005	 1194	 6074	 3297	 3327	 3322
3823	 882	 5348	 3292	 3327	 3327
3949	 1171	 5977	 3251	 3270	 3299
3992	 977	 5682	 3403	 3440	 3445
3932	 1099	 5835	 3308	 3281	 3305
3912	 1088	 5796	 3270	 3282	 3301
4113	 1367	 6477	 3295	 3377	 3306
5588	 847	 7051	 5064	 5118	 5121
4092	 1094	 5983	 3448	 3476	 3464
4155	 1305	 6413	 3391	 3414	 3405
4019	 1143	 5996	 3347	 3383	 3353
3984	 1121	 5923	 3312	 3356	 3348
3818	 832	 5254	 3321	 3356	 3344
3856	 935	 5475	 3293	 3324	 3333
3831	 881	 5352	 3289	 3346	 3340
3804	 838	 5255	 3291	 3332	 3339
3811	 883	 5340	 3252	 3318	 3334
4907	 2443	 9139	 3453	 3516	 3521
3804	 868	 5302	 3238	 3333	 3346
3909	 802	 5296	 3384	 3475	 3482
4061	 1169	 6086	 3333	 3409	 3416
3822	 860	 5310	 3291	 3354	 3334
3840	 856	 5322	 3291	 3395	 3352
3923	 992	 5638	 3287	 3347	 3422
3981	 1021	 5741	 3284	 3349	 3551
3853	 960	 5514	 3273	 3313	 3314
3907	 912	 5477	 3265	 3367	 3521
3900	 855	 5380	 3375	 3419	 3427
3858	 856	 5339	 3319	 3393	 3382
3842	 862	 5335	 3307	 3362	 3364
3873	 896	 5423	 3333	 3355	 3383
3903	 918	 5490	 3337	 3372	 3415
3885	 855	 5364	 3334	 3411	 3432
3882	 827	 5312	 3364	 3423	 3430
3936	 1023	 5705	 3313	 3346	 3382
3936	 968	 5612	 3339	 3399	 3395
3957	 1046	 5768	 3331	 3380	 3350
4108	 988	 5817	 3473	 3554	 3589
4066	 998	 5764	 3257	 3500	 3746
3876	 966	 5548	 3264	 3327	 3365
3897	 1056	 5721	 3216	 3320	 3334
3966	 1085	 5844	 3277	 3370	 3374
3813	 917	 5395	 3202	 3322	 3336
3816	 904	 5380	 3252	 3305	 3328
3831	 927	 5429	 3213	 3314	 3371
3824	 941	 5453	 3221	 3305	 3317
3900	 1036	 5694	 3249	 3327	 3330
4025	 955	 5678	 3385	 3521	 3516
4228	 1084	 6061	 3245	 3804	 3804
4184	 964	 5795	 3245	 3837	 3861
4214	 969	 5825	 3230	 3886	 3915
4314	 1038	 6041	 3280	 3929	 4008
4091	 946	 5704	 3309	 3672	 3682
4332	 1154	 6293	 3318	 3847	 3871
4204	 1080	 6055	 3341	 3704	 3717
4151	 1103	 6033	 3240	 3635	 3699
4241	 1268	 6426	 3296	 3602	 3640
4165	 1011	 5903	 3409	 3714	 3636
5188	 2613	 9696	 3316	 3872	 3870
4189	 1150	 6163	 3279	 3630	 3684
4119	 1031	 5887	 3295	 3613	 3681
4180	 1146	 6148	 3308	 3615	 3652
4189	 1054	 5979	 3306	 3620	 3854
4063	 948	 5672	 3234	 3674	 3675
6743	 5544	 16341	 3266	 3594	 3772
4040	 995	 5759	 3401	 3499	 3503
4000	 1028	 5775	 3309	 3472	 3446
4169	 1142	 6122	 3241	 3673	 3643
3922	 934	 5536	 3269	 3444	 3439
3962	 994	 5679	 3317	 3434	 3421
3883	 860	 5370	 3304	 3440	 3418
4025	 1086	 5903	 3347	 3436	 3416
3919	 855	 5398	 3366	 3478	 3435
3904	 810	 5307	 3382	 3477	 3450
4657	 2063	 8220	 3308	 3415	 3688
3985	 961	 5648	 3346	 3484	 3462
3935	 911	 5509	 3353	 3445	 3435
4032	 947	 5649	 3240	 3626	 3614
4636	 2204	 8453	 3254	 3418	 3419
3843	 852	 5315	 3245	 3399	 3413
3948	 956	 5597	 3292	 3449	 3456
3940	 806	 5324	 3302	 3569	 3565
3861	 763	 5169	 3282	 3518	 3478
4010	 848	 5451	 3269	 3675	 3646
4025	 841	 5458	 3295	 3687	 3660
3983	 823	 5387	 3310	 3629	 3609
4136	 939	 5734	 3457	 3864	 3492
4003	 796	 5351	 3293	 3685	 3685
4042	 961	 5696	 3360	 3662	 3450
4033	 954	 5665	 3309	 3725	 3433
3878	 796	 5244	 3295	 3527	 3449
3941	 917	 5528	 3332	 3452	 3452
3914	 894	 5459	 3310	 3442	 3446
3970	 973	 5651	 3306	 3464	 3460
3976	 946	 5611	 3381	 3457	 3457
3990	 1009	 5734	 3347	 3449	 3432
4063	 865	 5558	 3541	 3592	 3563
5717	 1091	 7538	 4657	 5333	 5343
Total runtime = 1.18397s
-rw-r--r--. 1 kduwe iks 53K Aug  5 18:06 /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp

# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# MPI_Comm_size: 4
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 2048 	 2048 	 100 	 10

# Mean 	 Sdev 	 Rank 0
20424	 1829	 23508	 20041	 19084	 19065
16281	 1470	 18808	 15655	 15358	 15305
15926	 1362	 18275	 14982	 15245	 15203
16151	 1753	 19162	 14837	 15338	 15269
16642	 2085	 20170	 14766	 15818	 15816
16188	 1970	 19552	 14564	 15436	 15201
15750	 1560	 18450	 14732	 14944	 14874
