# --- Read time in mikroseconds ---
# MPI_Comm_size: 4
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp3-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
3088	361	2576	 3532	 3279	 2967
1443	67	1433	 1485	 1489	 1368
1342	55	1324	 1389	 1386	 1270
1280	33	1298	 1281	 1299	 1243
1286	59	1260	 1360	 1320	 1204
1282	58	1251	 1350	 1313	 1215
1288	51	1271	 1354	 1297	 1231
1324	119	1263	 1528	 1284	 1221
1325	79	1342	 1432	 1284	 1244
1285	53	1301	 1328	 1258	 1256
1283	38	1281	 1305	 1281	 1267
1292	50	1292	 1364	 1253	 1260
1274	67	1275	 1376	 1217	 1229
1302	65	1349	 1374	 1236	 1250
1313	67	1352	 1359	 1314	 1230
1302	63	1326	 1359	 1290	 1236
1300	47	1346	 1329	 1283	 1243
1296	50	1347	 1335	 1283	 1219
1296	45	1363	 1307	 1277	 1237
1306	49	1345	 1329	 1256	 1296
1303	41	1336	 1332	 1259	 1286
1293	48	1332	 1315	 1247	 1280
1292	46	1302	 1310	 1272	 1287
1286	36	1320	 1305	 1294	 1225
1269	29	1279	 1306	 1266	 1225
1289	51	1277	 1358	 1289	 1233
1285	55	1269	 1356	 1311	 1204
1291	60	1284	 1333	 1322	 1228
1279	41	1277	 1306	 1308	 1226
1283	28	1288	 1305	 1304	 1235
1282	60	1326	 1289	 1301	 1215
1297	60	1324	 1304	 1345	 1217
1292	67	1297	 1358	 1323	 1191
1299	72	1302	 1364	 1324	 1209
1290	59	1268	 1348	 1306	 1241
1291	48	1296	 1339	 1305	 1225
1250	60	1223	 1323	 1278	 1177
1295	18	1301	 1323	 1282	 1274
1337	34	1328	 1361	 1356	 1304
1302	58	1326	 1346	 1294	 1245
1280	18	1287	 1304	 1253	 1276
1267	20	1263	 1295	 1273	 1237
1263	37	1257	 1274	 1273	 1250
1272	37	1273	 1292	 1263	 1262
1265	33	1256	 1302	 1260	 1243
1250	49	1208	 1300	 1234	 1260
1257	55	1244	 1316	 1234	 1237
1257	48	1220	 1310	 1261	 1239
1254	20	1258	 1283	 1227	 1248
1276	51	1268	 1304	 1298	 1237
1244	51	1212	 1282	 1258	 1227
1271	33	1233	 1299	 1309	 1243
1282	47	1298	 1287	 1315	 1230
1270	14	1262	 1265	 1295	 1258
1274	51	1258	 1307	 1293	 1241
1279	53	1256	 1317	 1302	 1244
1272	56	1218	 1306	 1325	 1241
1283	28	1264	 1315	 1306	 1247
1279	34	1254	 1293	 1310	 1260
1280	34	1269	 1314	 1288	 1250
1274	38	1279	 1308	 1282	 1228
1277	46	1246	 1307	 1323	 1233
1305	67	1286	 1304	 1387	 1246
1281	28	1276	 1302	 1280	 1267
1270	37	1267	 1313	 1268	 1233
1268	30	1276	 1309	 1263	 1224
1259	42	1240	 1297	 1264	 1237
1390	77	1464	 1283	 1464	 1349
1301	44	1265	 1299	 1265	 1375
1264	44	1266	 1308	 1250	 1234
1255	39	1243	 1285	 1237	 1257
1255	22	1272	 1282	 1225	 1241
1252	40	1238	 1287	 1241	 1244
1261	20	1250	 1296	 1251	 1247
1270	32	1244	 1286	 1257	 1294
1274	36	1236	 1307	 1286	 1268
1270	49	1242	 1305	 1275	 1261
1302	50	1286	 1343	 1304	 1278
1281	35	1239	 1297	 1286	 1303
1323	116	1254	 1508	 1243	 1290
1305	129	1201	 1519	 1217	 1284
1271	31	1257	 1298	 1250	 1280
1243	34	1259	 1228	 1214	 1272
1256	34	1286	 1265	 1222	 1252
1260	31	1256	 1276	 1231	 1278
1262	39	1273	 1275	 1233	 1269
1249	28	1248	 1273	 1238	 1238
1247	26	1244	 1260	 1243	 1242
1275	32	1259	 1272	 1260	 1310
1289	40	1284	 1311	 1262	 1301
1271	44	1282	 1273	 1260	 1272
1266	44	1267	 1283	 1256	 1261
1266	30	1238	 1278	 1274	 1275
1270	20	1248	 1282	 1297	 1253
1257	45	1250	 1281	 1259	 1241
1254	30	1233	 1278	 1263	 1243
1260	52	1245	 1307	 1260	 1231
1268	56	1258	 1328	 1258	 1231
1264	45	1232	 1326	 1264	 1235
1267	36	1239	 1309	 1253	 1268
1333	121	1223	 1294	 1539	 1276
Total runtime = 0.164744s

# --- Read time in mikroseconds ---
# MPI_Comm_size: 4
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp3-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 2048 	 2048 	 100 	 10

# Mean 	 Sdev 	 Rank 0
8938	124	8824	 9051	 9034	 8844
5575	99	5552	 5616	 5681	 5452
5666	12	5679	 5649	 5659	 5677
5569	65	5618	 5525	 5539	 5595
5514	109	5550	 5513	 5418	 5578
5529	101	5457	 5578	 5534	 5550
5521	104	5417	 5609	 5492	 5568
5463	115	5433	 5580	 5338	 5503
5466	98	5417	 5557	 5392	 5500
5495	130	5461	 5599	 5335	 5587
5441	128	5367	 5550	 5309	 5540
5433	101	5371	 5509	 5324	 5529
5368	129	5255	 5491	 5224	 5502
5414	231	5260	 5730	 5135	 5531
5443	123	5305	 5526	 5453	 5491
5459	147	5286	 5611	 5450	 5492
5317	168	5204	 5574	 5205	 5287
5384	77	5386	 5398	 5410	 5344
5335	149	5146	 5464	 5448	 5284
