
# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# MPI_Comm_size: 4
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
19554	 25272	 63327	 4888	 5029	 4975
5111	 815	 6501	 4466	 4783	 4697
4286	 1508	 6891	 3268	 3529	 3459
3913	 719	 5151	 3443	 3538	 3523
3801	 747	 5085	 3242	 3438	 3441
4003	 989	 5711	 3307	 3495	 3499
10886	 11991	 31656	 3908	 3995	 3986
4219	 1071	 6072	 3583	 3631	 3592
4287	 1418	 6737	 3331	 3537	 3545
5657	 1671	 8550	 4647	 4734	 4699
64524	 105599	 247428	 3419	 3602	 3647
22846	 32064	 78383	 4317	 4344	 4340
4977	 862	 6470	 4454	 4501	 4483
4311	 1117	 6243	 3595	 3702	 3705
4572	 1246	 6635	 4482	 3599	 3572
4614	 1622	 7421	 3783	 3632	 3621
4208	 1041	 6009	 3562	 3657	 3605
23862	 35055	 84580	 3560	 3656	 3652
4642	 1534	 7287	 3595	 3993	 3693
4163	 1084	 6017	 3331	 3818	 3486
4337	 1369	 6676	 3290	 3905	 3479
3880	 843	 5334	 3272	 3470	 3445
3984	 1025	 5752	 3268	 3463	 3455
3857	 839	 5300	 3261	 3437	 3433
3980	 1036	 5772	 3305	 3437	 3407
24286	 35518	 85805	 3718	 3826	 3797
4590	 943	 6209	 4261	 3958	 3932
20046	 28509	 69425	 3695	 3543	 3524
4415	 1121	 6355	 3706	 3870	 3729
4129	 1265	 6318	 3380	 3417	 3403
4047	 1074	 5904	 3353	 3535	 3396
4054	 1100	 5959	 3433	 3427	 3398
4063	 926	 5645	 3314	 3637	 3659
4317	 1375	 6685	 3310	 3645	 3631
4075	 1193	 6141	 3311	 3408	 3440
3869	 821	 5289	 3326	 3445	 3416
3994	 941	 5616	 3325	 3607	 3428
4115	 1235	 6251	 3312	 3458	 3441
4442	 1486	 6987	 3318	 3920	 3545
3952	 1003	 5686	 3296	 3414	 3414
4005	 1048	 5814	 3282	 3505	 3420
4083	 1143	 6063	 3395	 3426	 3448
4206	 1168	 6228	 3486	 3559	 3552
4289	 885	 5822	 3729	 3805	 3800
4505	 945	 6143	 3922	 3982	 3973
4541	 944	 6174	 3931	 4036	 4024
4340	 887	 5874	 3764	 3862	 3861
4508	 1032	 6291	 3874	 3960	 3910
4217	 1156	 6188	 3887	 3393	 3402
4380	 1182	 6399	 3921	 3798	 3403
4268	 1129	 6219	 3696	 3575	 3585
4318	 1164	 6259	 4188	 3409	 3416
4131	 1237	 6273	 3417	 3422	 3413
3975	 1000	 5706	 3402	 3400	 3393
3994	 1034	 5782	 3386	 3401	 3410
4029	 1081	 5901	 3369	 3431	 3416
4135	 1078	 6000	 3403	 3578	 3559
4123	 1133	 6084	 3377	 3494	 3537
4098	 1123	 6036	 3368	 3583	 3407
4079	 1018	 5839	 3455	 3516	 3509
4098	 1242	 6248	 3344	 3403	 3398
3995	 1001	 5727	 3438	 3417	 3400
3942	 976	 5629	 3323	 3418	 3400
3947	 970	 5623	 3325	 3462	 3380
4013	 1035	 5798	 3303	 3439	 3515
4069	 1116	 5995	 3294	 3467	 3522
4107	 1066	 5936	 3293	 3561	 3641
4052	 1094	 5934	 3263	 3595	 3418
4037	 1045	 5837	 3297	 3498	 3519
4159	 1194	 6215	 3334	 3665	 3424
4086	 1111	 5999	 3293	 3626	 3427
4035	 1068	 5886	 3387	 3436	 3431
4061	 1122	 5996	 3282	 3440	 3528
4141	 1306	 6398	 3297	 3437	 3435
4296	 1521	 6925	 3278	 3438	 3545
4394	 1335	 6707	 3597	 3639	 3633
4521	 1205	 6608	 3801	 3842	 3834
4544	 1381	 6934	 3724	 3764	 3756
4775	 1060	 6609	 4141	 4187	 4165
3922	 980	 5620	 3298	 3384	 3386
4262	 1155	 6205	 4070	 3385	 3388
4920	 2229	 8751	 4090	 3421	 3420
4331	 1121	 6173	 4300	 3446	 3405
4287	 1096	 6090	 4251	 3404	 3403
3908	 841	 5359	 3513	 3380	 3382
3984	 841	 5429	 3320	 3597	 3590
3959	 897	 5501	 3310	 3460	 3568
4049	 1156	 6050	 3331	 3411	 3405
4042	 827	 5459	 3444	 3490	 3775
3870	 873	 5381	 3315	 3398	 3387
3931	 800	 5312	 3443	 3493	 3479
3811	 784	 5164	 3322	 3386	 3375
3819	 846	 5284	 3301	 3351	 3340
3806	 729	 5067	 3380	 3394	 3384
3975	 1056	 5804	 3337	 3357	 3402
3950	 834	 5387	 3337	 3506	 3570
4227	 957	 5828	 3285	 3873	 3922
5059	 2284	 9000	 3410	 3885	 3941
4088	 1032	 5856	 3319	 3715	 3464
5150	 918	 6722	 4447	 4798	 4635
Total runtime = 1.93757s
-rw-r--r--. 1 kduwe iks 53K Aug  5 18:01 /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp

# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# MPI_Comm_size: 4
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 2048 	 2048 	 100 	 10

# Mean 	 Sdev 	 Rank 0
20885	 1780	 23952	 19976	 19670	 19944
16660	 1458	 19172	 16024	 15854	 15590
16071	 1768	 19123	 15221	 14822	 15118
15784	 1535	 18432	 14794	 14972	 14940
16161	 1778	 19222	 14812	 15310	 15300
15821	 1585	 18563	 14855	 14930	 14937
