# --- Read time in mikroseconds ---
# MPI_Comm_size: 4
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp5_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp5-4nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp5-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
5183	611	4242	 5056	 5795	 5640
1845	190	1536	 1925	 1866	 2053
1234	123	1030	 1345	 1320	 1241
1199	155	941	 1315	 1299	 1243
1188	157	932	 1293	 1306	 1224
1180	157	916	 1303	 1284	 1218
1159	169	869	 1286	 1269	 1212
1163	167	886	 1275	 1281	 1213
1172	147	928	 1271	 1275	 1216
1177	121	975	 1252	 1273	 1209
1149	162	869	 1254	 1261	 1212
1151	162	881	 1259	 1256	 1211
1154	163	875	 1278	 1261	 1202
1149	174	855	 1291	 1256	 1195
1150	178	856	 1284	 1267	 1196
1018	223	847	 750	 1268	 1207
957	184	825	 743	 1063	 1199
885	185	825	 740	 775	 1201
881	183	811	 748	 775	 1192
886	181	827	 751	 773	 1194
889	180	828	 751	 782	 1196
838	98	813	 750	 789	 1001
834	98	815	 751	 783	 990
837	93	805	 750	 815	 981
852	88	818	 744	 887	 962
820	79	804	 745	 784	 948
833	86	805	 779	 771	 978
875	67	873	 942	 779	 908
799	48	857	 830	 779	 730
813	55	864	 738	 782	 868
766	35	807	 709	 770	 778
758	50	813	 724	 773	 725
742	36	786	 703	 756	 724
741	44	784	 716	 754	 713
741	35	782	 702	 770	 710
745	38	783	 703	 772	 723
734	43	782	 684	 762	 709
734	46	780	 705	 753	 701
728	52	787	 674	 755	 698
729	47	786	 670	 752	 709
735	39	779	 687	 769	 705
737	49	785	 688	 772	 705
731	39	781	 689	 758	 696
729	49	778	 688	 752	 701
726	48	781	 667	 757	 700
753	77	782	 677	 858	 697
770	83	781	 683	 892	 726
739	39	782	 683	 771	 720
749	64	843	 685	 750	 720
757	73	870	 683	 772	 703
730	50	782	 688	 753	 700
783	37	788	 842	 750	 752
768	47	773	 827	 754	 720
743	51	777	 677	 771	 750
732	46	781	 666	 755	 727
733	45	768	 674	 759	 733
735	50	777	 686	 768	 712
738	52	793	 681	 754	 727
744	35	787	 688	 755	 746
730	46	779	 683	 755	 705
726	54	779	 666	 753	 709
728	45	779	 672	 756	 706
728	39	776	 681	 757	 698
731	51	777	 677	 772	 700
736	45	784	 701	 760	 701
755	32	781	 783	 754	 702
728	55	786	 673	 754	 702
724	49	776	 662	 759	 700
735	59	777	 671	 798	 696
729	54	778	 667	 773	 700
751	67	846	 674	 782	 702
745	68	841	 676	 761	 704
732	55	780	 675	 773	 703
787	132	780	 665	 1002	 702
735	61	789	 663	 790	 700
734	48	782	 673	 780	 701
743	37	784	 725	 763	 701
752	49	786	 748	 781	 696
736	48	783	 684	 777	 701
730	54	776	 666	 775	 705
729	41	768	 672	 770	 706
743	51	783	 662	 760	 768
730	44	775	 670	 756	 720
745	43	766	 670	 764	 780
729	53	775	 667	 772	 704
770	68	791	 667	 773	 850
731	53	784	 663	 775	 703
729	49	768	 670	 769	 711
730	48	769	 675	 770	 708
724	57	771	 655	 764	 709
722	46	773	 651	 754	 710
827	120	941	 710	 948	 711
839	129	986	 716	 947	 708
828	128	856	 734	 1019	 706
796	62	778	 830	 858	 721
745	69	778	 660	 830	 714
807	117	771	 658	 827	 974
758	108	753	 660	 927	 695
723	46	769	 673	 762	 689
719	57	773	 665	 759	 682
757	78	758	 651	 849	 773
Total runtime = 0.114759s

# File Size:
total 6.4G
drwxr-xr-x. 2 kduwe iks    8 Aug 17 19:33 .
drwxr-xr-x. 6 kduwe iks    4 Aug 17 19:33 ..
-rw-r--r--. 1 kduwe iks 1.6G Aug 17 19:33 data.0
-rw-r--r--. 1 kduwe iks 1.6G Aug 17 19:33 data.1
-rw-r--r--. 1 kduwe iks 1.6G Aug 17 19:33 data.2
-rw-r--r--. 1 kduwe iks 1.6G Aug 17 19:33 data.3
-rw-r--r--. 1 kduwe iks 134K Aug 17 19:33 md.0
-rw-r--r--. 1 kduwe iks 6.6K Aug 17 19:33 md.idx
-rw-r--r--. 1 kduwe iks  984 Aug 17 19:33 mmd.0
-rw-r--r--. 1 kduwe iks 7.7K Aug 17 19:33 profiling.json
# --- Read time in mikroseconds ---
# MPI_Comm_size: 4
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp5_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp5-4nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp5-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 2048 	 2048 	 100 	 10

# Mean 	 Sdev 	 Rank 0
15542	1700	18388	 15280	 14190	 14312
13319	413	13765	 13661	 12982	 12870
13421	268	13806	 13315	 13210	 13356
13701	154	13702	 13647	 13864	 13593
13232	291	13605	 13401	 12947	 12976
13207	440	13804	 13397	 12712	 12917
13295	481	13776	 13742	 12691	 12972
13331	534	13973	 13701	 12660	 12991
14537	1998	17777	 14606	 12831	 12934
13534	649	13608	 14547	 12850	 13132
13793	577	13806	 14701	 13290	 13378
13268	454	13511	 13854	 12810	 12900
13123	413	13593	 13393	 12614	 12895
13201	393	13523	 13605	 12701	 12977
14084	1448	13559	 13356	 16547	 12876
13069	355	13492	 13260	 12650	 12877
13084	333	13414	 13267	 12584	 13073
14406	2151	18101	 13244	 12764	 13516
14200	1978	17560	 13483	 12482	 13277
13041	278	13273	 13288	 12636	 12968
13035	391	13106	 13532	 12504	 13001
